current_x,current_y,goal_x,goal_y,distance_error,theta,goal_theta,angle_error
22.375,9.152405117849224,22.37500033341348,1.1250000167638063,8.027405101085424,-1.5707930892019986,-1.5707962852604933,-3.196058494747689e-06
22.375,9.152405117849224,22.37500033341348,1.1250000167638063,8.027405101085424,-1.5707930892019986,-1.5707962852604933,-3.196058494747689e-06
22.375,9.152405117849224,22.37500033341348,1.1250000167638063,8.027405101085424,-1.5707930892019986,-1.5707962852604933,-3.196058494747689e-06
22.375,8.126686887712362,22.37500033341348,1.1250000167638063,7.001686870948563,-1.5707943676302671,-1.5707962791758745,-1.9115456073581782e-06
22.375,8.126686887712362,22.37500033341348,1.1250000167638063,7.001686870948563,-1.5707943676302671,-1.5707962791758745,-1.9115456073581782e-06
22.375,7.035338465319906,22.37500033341348,1.1250000167638063,5.910338448556109,-1.5707951322514309,-1.5707962703829865,-1.138131555666888e-06
22.375,7.035338465319906,22.37500033341348,1.1250000167638063,5.910338448556109,-1.5707951322514309,-1.5707962703829865,-1.138131555666888e-06
22.375,6.249779178005772,22.37500033341348,1.1250000167638063,5.124779161241976,-1.5707955875057877,-1.570796261735804,-6.742300162621007e-07
22.375,6.249779178005772,22.37500033341348,1.1250000167638063,5.124779161241976,-1.5707955875057877,-1.570796261735804,-6.742300162621007e-07
22.375,4.923718857245301,22.37500033341348,1.1250000167638063,3.798718840481509,-1.5707958571988245,-1.5707962390249153,-3.8182609074510765e-07
22.375,4.14319800992609,22.37500033341348,1.1250000167638063,3.0181979931623024,-1.5707960099298428,-1.5707962163271665,-2.0639732367655483e-07
22.375,4.14319800992609,22.37500033341348,1.1250000167638063,3.0181979931623024,-1.5707960099298428,-1.5707962163271665,-2.0639732367655483e-07
22.375,4.14319800992609,22.37500033341348,1.1250000167638063,3.0181979931623024,-1.5707960099298428,-1.5707962163271665,-2.0639732367655483e-07
22.375000313917674,3.1431941899260902,22.37500033341348,1.1250000167638063,2.018194173162284,-1.5707960924890876,-1.570796317134871,-2.2464578330883e-07
22.375000313917674,3.1431941899260902,22.37500033341348,1.1250000167638063,2.018194173162284,-1.5707960924890876,-1.570796317134871,-2.2464578330883e-07
22.3750005086256,2.1431903799260903,22.37500033341348,1.1250000167638063,1.018190363162299,-1.5707961823477432,-1.5707964988767833,-3.1652904008971916e-07
22.3750005086256,1.6638593473654884,22.37500033341348,1.1250000167638063,0.5388593306017105,-1.5707963089598416,-1.5707966519486216,-3.4298878004435096e-07
22.3750005086256,1.6638593473654884,22.37500033341348,1.1250000167638063,0.5388593306017105,-1.5707963089598416,-1.5707966519486216,-3.4298878004435096e-07
22.3750005086256,1.195643913103134,22.37500033341348,1.1250000167638063,0.07064389633954495,-1.5707964461558777,-1.5707988070108483,-2.3608549706288784e-06
22.3750005086256,1.195643913103134,22.37500033341348,1.1250000167638063,0.07064389633954495,-1.5707964461558777,-1.5707988070108483,-2.3608549706288784e-06
